Authors,Author full names,Author(s) ID,Title,Planet,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Country of Origin,Institution,Affiliations,Authors with affiliations,Funding Texts,Funding Source,Publisher,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Perot E.; Rousseau S.,"Perot, Etienne (20434692600); Rousseau, Stéphane (57196814974)",20434692600; 57196814974,Importance of an on-board estimation of the density scale height for various aerocapture guidance algorithms,Mars,2002,AIAA/AAS Astrodynamics Specialist Conference and Exhibit,,,,,,,9,10.2514/6.2002-4734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087189988&doi=10.2514%2f6.2002-4734&partnerID=40&md5=8ce1afc35ec16a7461bad6d985ef7bda,France,CNES,"COFRAMI, Toulouse, France; Centre National d'Etudes Spatiales, Mission Analysis Department, Space Dynamics Division, Toulouse, France","Perot E., COFRAMI, Toulouse, France; Rousseau S., Centre National d'Etudes Spatiales, Mission Analysis Department, Space Dynamics Division, Toulouse, France",,CNES,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85087189988
Rousseau S.; Perot E.; Graves C.; Masciarelli J.P.; Queen E.,"Rousseau, Stéphane (57196814974); Perot, Etienne (20434692600); Graves, Claude (8919292100); Masciarelli, James P. (8420222600); Queen, Eric (6507858355)",57196814974; 20434692600; 8919292100; 8420222600; 6507858355,Aerocapture guidance algorithm comparison campaign,Mars,2002,AIAA/AAS Astrodynamics Specialist Conference and Exhibit,,,,,,,32,10.2514/6.2002-4822,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085402633&doi=10.2514%2f6.2002-4822&partnerID=40&md5=3388d27900263b5c08ab25266589ab3b,France,CNES,"Centre National d'Etudes Spatiales, Toulouse, France; Advanced Development Office, NASA Johnson Space Center, Houston, TX, United States; Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX, United States; NASA Langley Research Center, Hampton, VA, United States; Mission Analysis Department, France; COFRAMI, Toulouse, France; Vehicle Analysis Branch, United States","Rousseau S., Centre National d'Etudes Spatiales, Toulouse, France, Mission Analysis Department, France; Perot E., Centre National d'Etudes Spatiales, Toulouse, France, COFRAMI, Toulouse, France; Graves C., Advanced Development Office, NASA Johnson Space Center, Houston, TX, United States; Masciarelli J.P., Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX, United States; Queen E., NASA Langley Research Center, Hampton, VA, United States, Vehicle Analysis Branch, United States",,CNES,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85085402633
Jits R.Y.,"Jits, Roman Y. (7801609780)",7801609780,Trajectory analysis for thermal protection system design of mars aerocapture vehicles,Mars,2002,40th AIAA Aerospace Sciences Meeting and Exhibit,,,,,,,3,10.2514/6.2002-818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088185747&doi=10.2514%2f6.2002-818&partnerID=40&md5=a04fe20ee2376b1369830b88eff90dae,United States,NASA Ames Research Center,"NASA Ames Research Center, Reacting Flow Environments branch, Moffett Field, CA 94035, United States","Jits R.Y., NASA Ames Research Center, Reacting Flow Environments branch, Moffett Field, CA 94035, United States",,NA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85088185747
Graves C.A.; Masciarelli J.P.,"Graves, Claude A. (8919292100); Masciarelli, James P. (8420222600)",8919292100; 8420222600,An analytical assessment of aerocapture guidance and navigation flight demonstration for applicability to other planets,Generic,2002,AIAA Atmospheric Flight Mechanics Conference and Exhibit,,,,,,,1,10.2514/6.2002-4622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088342564&doi=10.2514%2f6.2002-4622&partnerID=40&md5=5a5e80e50bd87d134afbd1bca620fcbb,United States,NASA Johnson Space Center,"Advanced Development Office, NASA Johnson Space Center, Houston, TX 77058, United States; Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX 77058, United States","Graves C.A., Advanced Development Office, NASA Johnson Space Center, Houston, TX 77058, United States; Masciarelli J.P., Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX 77058, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85088342564
Craig S.; Lyne J.E.,"Craig, Scott (34973975800); Lyne, James Evans (7004648122)",34973975800; 7004648122,A parameteric study of aerocapture for missions to venus,Venus,2002,AIAA Atmospheric Flight Mechanics Conference and Exhibit,,,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896032818&partnerID=40&md5=7fc58c48f320c486706f119ea599a9f3,United States,Univ. of Tennessee,"Department of Mechanical, Aerospace and Biomedical Engineering, University of Tennessee, Knoxville, TN 37996, United States","Craig S., Department of Mechanical, Aerospace and Biomedical Engineering, University of Tennessee, Knoxville, TN 37996, United States; Lyne J.E., Department of Mechanical, Aerospace and Biomedical Engineering, University of Tennessee, Knoxville, TN 37996, United States",,NA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-84896032818
Noca M.; Bailey R.W.,"Noca, Muriel (6506123132); Bailey, Robert W. (36838466700)",6506123132; 36838466700,Titan explorer mission trades from the perspective of aerocapture,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897759698&partnerID=40&md5=e0ce59c1c74e40ac64780d9539a3e6dd,United States,NASA Jet Propulsion Laboratory,"Jet Propulsion Laboratory, California Institute of Technology, Deep Space Mission Architecture Group, Pasadena, CA, United States; Jet Propulsion Laboratory, California Institute of Technology, Flight System Group, Pasadena, CA, United States","Noca M., Jet Propulsion Laboratory, California Institute of Technology, Deep Space Mission Architecture Group, Pasadena, CA, United States; Bailey R.W., Jet Propulsion Laboratory, California Institute of Technology, Flight System Group, Pasadena, CA, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84897759698
Lockwood M.K.,"Lockwood, Mary Kae (7101631681)",7101631681,Titan aerocapture systems analysis,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,50,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897586261&partnerID=40&md5=7674526f616ba101371fe863e81fb44a,United States,NASA Langley Research Center,"NASA, Langley Research Center, United States","Lockwood M.K., NASA, Langley Research Center, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84897586261
Westhelle C.H.; Masciarelli J.P.,"Westhelle, Carlos H. (8366238600); Masciarelli, James P. (8420222600)",8366238600; 8420222600,Assessment of aerocapture flight at titan using a drag-only device,Titan,2003,AIAA Atmospheric Flight Mechanics Conference and Exhibit,,,,,,,28,10.2514/6.2003-5389,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085402881&doi=10.2514%2f6.2003-5389&partnerID=40&md5=2a2e18e225d30d4341f83078137789ed,United States,NASA Johnson Space Center,"Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX 77058, United States","Westhelle C.H., Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX 77058, United States; Masciarelli J.P., Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX 77058, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85085402881
Spilker T.R.,"Spilker, Thomas R. (6602085794)",6602085794,Saturn ring observer,Titan,2003,Acta Astronautica,52,2-6,,259,265,6,23,10.1016/S0094-5765(02)00165-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037238149&doi=10.1016%2fS0094-5765%2802%2900165-0&partnerID=40&md5=2d704a1ebdaa873065327e7850fc0984,United States,NASA Jet Propulsion Laboratory,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109-8099, 4800 Oak Grove Drive, United States","Spilker T.R., Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109-8099, 4800 Oak Grove Drive, United States",,NA,,English,Conference paper,Final,,Scopus,2-s2.0-0037238149
Bailey R.W.; Hall J.L.; Spilker T.R.,"Bailey, R.W. (36838466700); Hall, J.L. (7407379228); Spilker, T.R. (6602085794)",36838466700; 7407379228; 6602085794,Titan aerocapture mission and spacecraft design overview,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,11,10.2514/6.2003-4800,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088344715&doi=10.2514%2f6.2003-4800&partnerID=40&md5=96a95aa23269ea93d04c3853c43ceb0a,United States,NASA Jet Propulsion Laboratory,"Jet Propulsion Laboratory, California Institute of Technology, United States","Bailey R.W., Jet Propulsion Laboratory, California Institute of Technology, United States; Hall J.L., Jet Propulsion Laboratory, California Institute of Technology, United States; Spilker T.R., Jet Propulsion Laboratory, California Institute of Technology, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85088344715
James B.; Munk M.; Moon S.,"James, Bonnie (10043619900); Munk, Michelle (7006078520); Moon, Steve (10045854500)",10043619900; 7006078520; 10045854500,Nasa development of aerocapture technologies,Generic,2003,17th AIAA Aerodynamic Decelerator Systems Technology Conference and Seminar,,,,,,,1,10.2514/6.2003-2103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085780305&doi=10.2514%2f6.2003-2103&partnerID=40&md5=fbdc612bb761ebcf5d3a5444160deda5,United States,NASA Marshall Space Flight Center,"NASA Marshall Space Flight Center, MSFC, AL 35812, United States; Gray Research, Huntsville, AL 35812, United States","James B., NASA Marshall Space Flight Center, MSFC, AL 35812, United States; Munk M., NASA Marshall Space Flight Center, MSFC, AL 35812, United States; Moon S., Gray Research, Huntsville, AL 35812, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85085780305
Eric Dyke R.,"Eric Dyke, R. (8403495900)",8403495900,Planetary probe mass estimation tool development and its application to titan aerocapture,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897746521&partnerID=40&md5=3be7939feb5405ee8f19d8ca5606e599,United States,Swales Aerospace,"Swales Aerospace, Hampton, VA 23681, United States","Eric Dyke R., Swales Aerospace, Hampton, VA 23681, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84897746521
Haw R.J.,"Haw, Robert J. (7003898861)",7003898861,Approach navigation for a Titan Aerocapture orbiter,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,9,10.2514/6.2003-4802,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088721714&doi=10.2514%2f6.2003-4802&partnerID=40&md5=75ceb7318a1a374a4957c2146d0baf0f,United States,NASA Jet Propulsion Laboratory,"Navigation and Mission Design, Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109-8099, United States","Haw R.J., Navigation and Mission Design, Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109-8099, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85088721714
Olejniczak J.; Wright M.; Prabhu D.; Takashima N.; Hollis B.; Vincent Zoby E.; Sutton K.,"Olejniczak, Joseph (7003404508); Wright, Michael (7401558933); Prabhu, Dinesh (7003786406); Takashima, Naruhisa (8352726900); Hollis, Brian (57206291609); Vincent Zoby, E. (6507453261); Sutton, Kenneth (7006745674)",7003404508; 7401558933; 7003786406; 8352726900; 57206291609; 6507453261; 7006745674,An analysis of the radiative heating environment for aerocapture at titan,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,38,10.2514/6.2003-4953,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087188240&doi=10.2514%2f6.2003-4953&partnerID=40&md5=db6ecfe7af6b56f9257f99f4cd322d3e,United States,NASA Ames Research Center,"NASA Ames Research Center, Reacting Flow Environments Branch, Moffett Field, CA 94035, United States; ELORET Corp, Sunnyvale, CA 94087, 690 W. Fremont Ave., Suite 8, United States; AMA Inc, Hampton, VA 23666, 303 Butler Farm Road, Suite 104A, United States; NASA Langley Research Center, Aerothermodynamics Branch, Hampton, VA 23681, United States; National Institute of Aerospace, Aerothermodynamics Branch, Hampton, VA 23666, United States","Olejniczak J., NASA Ames Research Center, Reacting Flow Environments Branch, Moffett Field, CA 94035, United States; Wright M., ELORET Corp, Sunnyvale, CA 94087, 690 W. Fremont Ave., Suite 8, United States; Prabhu D., ELORET Corp, Sunnyvale, CA 94087, 690 W. Fremont Ave., Suite 8, United States; Takashima N., AMA Inc, Hampton, VA 23666, 303 Butler Farm Road, Suite 104A, United States; Hollis B., NASA Langley Research Center, Aerothermodynamics Branch, Hampton, VA 23681, United States; Vincent Zoby E., NASA Langley Research Center, Aerothermodynamics Branch, Hampton, VA 23681, United States; Sutton K., National Institute of Aerospace, Aerothermodynamics Branch, Hampton, VA 23666, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85087188240
Masciarelli J.P.; Queen E.M.,"Masciarelli, James P. (8420222600); Queen, Eric M. (6507858355)",8420222600; 6507858355,Guidance algorithms for aerocapture at Titan,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,20,10.2514/6.2003-4804,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088343991&doi=10.2514%2f6.2003-4804&partnerID=40&md5=29768570715a0b328fce984305c200b3,United States,NASA Johnson Space Center,"Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX, United States; Vehicle Analysis Branch, NASA Langley Research Center, Hampton, VA, United States","Masciarelli J.P., Aeroscience and Flight Mechanics Division, NASA Johnson Space Center, Houston, TX, United States; Queen E.M., Vehicle Analysis Branch, NASA Langley Research Center, Hampton, VA, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85088343991
Le Peuvedic C.; Carenco R.,"Le Peuvedic, Catherine (56630304800); Carenco, Raphaël (6504659294)",56630304800; 6504659294,AOCS design for aerocapture demonstration around mars,Mars,2003,"European Space Agency, (Special Publication) ESA SP",,516,,193,197,4,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037815360&partnerID=40&md5=2a9472022220c57771bb3e4f54ebe16b,France,Alcatel Space,"ALCATEL SPACE, 06156 Cannes La Bocca Cedex, 100 Boulevard du Midi, BP99, France","Le Peuvedic C., ALCATEL SPACE, 06156 Cannes La Bocca Cedex, 100 Boulevard du Midi, BP99, France; Carenco R., ALCATEL SPACE, 06156 Cannes La Bocca Cedex, 100 Boulevard du Midi, BP99, France",,NA,,English,Conference paper,Final,,Scopus,2-s2.0-0037815360
Ferreira E.; Vernis P.; Augros P.,"Ferreira, E. (8538645700); Vernis, P. (56065777400); Augros, P. (23090129500)",8538645700; 56065777400; 23090129500,Guidance algorithms for spacecraft aeroassist manoeuvres,Mars,2003,"European Space Agency, (Special Publication) ESA SP",,516,,125,134,9,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038491546&partnerID=40&md5=0febda7204daa72372c43d930f294562,France,EADS,"EADS Launch Vehicles, 78133 Les Mureaux, 66, Route de Verheuil, France","Ferreira E., EADS Launch Vehicles, 78133 Les Mureaux, 66, Route de Verheuil, France; Vernis P., EADS Launch Vehicles, 78133 Les Mureaux, 66, Route de Verheuil, France; Augros P., EADS Launch Vehicles, 78133 Les Mureaux, 66, Route de Verheuil, France",,NA,,English,Conference paper,Final,,Scopus,2-s2.0-0038491546
McRonald A.; Gates K.; Nock K.T.,"McRonald, Angus (6602321960); Gates, Kristin (55805595900); Nock, Kerry T. (6602675582)",6602321960; 55805595900; 6602675582,"Analysis of high-speed aerocapture at mars using hyperpass, a new aeroassist tool",Mars,2003,17th AIAA Aerodynamic Decelerator Systems Technology Conference and Seminar,,,,,,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894802892&partnerID=40&md5=5f582cf41b223132712c23d174cfdc7d,United States,Global Aerospace Corp.,"Global Aerospace Corporation, Altadena, CA 91001-5327, 711 West Woodbury Road, Suite H, United States","McRonald A., Global Aerospace Corporation, Altadena, CA 91001-5327, 711 West Woodbury Road, Suite H, United States; Gates K., Global Aerospace Corporation, Altadena, CA 91001-5327, 711 West Woodbury Road, Suite H, United States; Nock K.T., Global Aerospace Corporation, Altadena, CA 91001-5327, 711 West Woodbury Road, Suite H, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84894802892
Aso S.; Yasaka T.; Hirayama H.; Poetro R.E.; Hatta S.,"Aso, Shigeru (7006137078); Yasaka, Tetsuo (7005801010); Hirayama, Hiroshi (35847658400); Poetro, Ridanto Eko (6504071723); Hatta, Shinji (56273874300)",7006137078; 7005801010; 35847658400; 6504071723; 56273874300,Preliminary studies on the planetary entry to Jupiter by aerocapture technique,Jupiter,2003,"European Space Agency, (Special Publication) ESA SP",,542,,195,202,7,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0842311260&partnerID=40&md5=fe816ebb7f46eed86e43960d161f1162,Japan,Kyushu Univ.,"Department of Aeronautics, Kyushu University, Fukuoka 812-8581, Japan","Aso S., Department of Aeronautics, Kyushu University, Fukuoka 812-8581, Japan; Yasaka T., Department of Aeronautics, Kyushu University, Fukuoka 812-8581, Japan; Hirayama H., Department of Aeronautics, Kyushu University, Fukuoka 812-8581, Japan; Poetro R.E., Department of Aeronautics, Kyushu University, Fukuoka 812-8581, Japan; Hatta S., Department of Aeronautics, Kyushu University, Fukuoka 812-8581, Japan",,NA,,English,Conference paper,Final,,Scopus,2-s2.0-0842311260
Way D.W.; Powell R.W.; Edquist K.T.; Masciarelli J.P.; Starr B.R.,"Way, David W. (16176584600); Powell, Richard W. (7402348304); Edquist, Karl T. (11440712700); Masciarelli, James P. (8420222600); Starr, Brett R. (10039875400)",16176584600; 7402348304; 11440712700; 8420222600; 10039875400,Aerocapture simulation and performance for the titan explorer mission,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,20,10.2514/6.2003-4951,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088720615&doi=10.2514%2f6.2003-4951&partnerID=40&md5=18f2b1a018c9cec3df0bb0cb43ff6677,United States,NASA Langley Research Center,"NASA Langley Research Center, United States; NASA Johnson Space Center, United States","Way D.W., NASA Langley Research Center, United States; Powell R.W., NASA Langley Research Center, United States; Edquist K.T., NASA Langley Research Center, United States; Masciarelli J.P., NASA Johnson Space Center, United States; Starr B.R., NASA Langley Research Center, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85088720615
Laub B.,"Laub, Bernard (6603549631)",6603549631,Thermal protection concepts and issues for aerocapture at titan,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,19,10.2514/6.2003-4954,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086492082&doi=10.2514%2f6.2003-4954&partnerID=40&md5=a04e932020b8567c0713539d15b8b2c7,United States,NASA Ames Research Center,"NASA Ames Research Center, Thermal Protection Materials and Systems Branch, Moffett Field, CA 94035, United States","Laub B., NASA Ames Research Center, Thermal Protection Materials and Systems Branch, Moffett Field, CA 94035, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85086492082
Takashima N.; Hollis B.R.; Vincent Zoby E.; Sutton K.; Olejniczak J.; Wright M.J.; Prabhu D.,"Takashima, Naruhisa (8352726900); Hollis, Brian R. (57206291609); Vincent Zoby, E. (6507453261); Sutton, Kenneth (7006745674); Olejniczak, Joe (7003404508); Wright, Michael J. (7401558933); Prabhu, Dinesh (7003786406)",8352726900; 57206291609; 6507453261; 7006745674; 7003404508; 7401558933; 7003786406,Preliminary aerothermodynamics of titan aerocapture aeroshell,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,24,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897585707&partnerID=40&md5=6ac2b544efd606d1ede3021ac29e8cb8,United States,AMA Inc.,"AMA Inc, Hampton, VA 23666, United States; NASA Langley Research Center, Aerothermodynamics Branch, Hampton, VA 23681, United States; National Institute of Aerospace, Aerothermodynamics Branch, Hampton, VA 23666, United States; NASA Ames Research Center, Moffett Field, CA 94035, United States; ELORET Corporation, Sunnyvale, CA 94087, United States","Takashima N., AMA Inc, Hampton, VA 23666, United States; Hollis B.R., NASA Langley Research Center, Aerothermodynamics Branch, Hampton, VA 23681, United States; Vincent Zoby E., NASA Langley Research Center, Aerothermodynamics Branch, Hampton, VA 23681, United States; Sutton K., National Institute of Aerospace, Aerothermodynamics Branch, Hampton, VA 23666, United States; Olejniczak J., NASA Ames Research Center, Moffett Field, CA 94035, United States; Wright M.J., ELORET Corporation, Sunnyvale, CA 94087, United States; Prabhu D., ELORET Corporation, Sunnyvale, CA 94087, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84897585707
Hrinda G.A.,"Hrinda, Glenn A. (8403496000)",8403496000,Structural design of the titan aerocapture mission,Titan,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,2,10.2514/6.2003-4955,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088183788&doi=10.2514%2f6.2003-4955&partnerID=40&md5=cabb16b74973c6b58ec69cc9d304636b,United States,NASA Langley Research Center,"NASA Langley Research Center, Hampton, VA, United States","Hrinda G.A., NASA Langley Research Center, Hampton, VA, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85088183788
James B.; Munk M.; Moon S.,"James, Bonnie (10043619900); Munk, Michelle (7006078520); Moon, Steve (10045854500)",10043619900; 7006078520; 10045854500,Aerocapture Technology Project Overview,Generic,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,8,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897585270&partnerID=40&md5=faf72c3c2fcffd956e21448df08965c8,United States,NASA Marshall Space Flight Center,"NASA Marshall Space Flight Center, MSFC, AL 35812, United States","James B., NASA Marshall Space Flight Center, MSFC, AL 35812, United States; Munk M., NASA Marshall Space Flight Center, MSFC, AL 35812, United States; Moon S.",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84897585270
Miller K.L.; Gulick D.; Lewis J.; Trochman B.; Stein J.; Lyons D.T.; Wilmoth R.G.,"Miller, Kevin L. (7404256535); Gulick, Doug (8582621600); Lewis, Jake (24070777200); Trochman, Bill (56103694500); Stein, Jim (7402750539); Lyons, Daniel T. (7202511068); Wilmoth, Richard G. (7003758102)",7404256535; 8582621600; 24070777200; 56103694500; 7402750539; 7202511068; 7003758102,Trailing ballute aerocapture: Concept and feasibility assessment,Generic,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,42,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897586247&partnerID=40&md5=9678aa170703122d5991864fe7253dd1,United States,Ball Aerospace,"Ball Aerospace and Technologies Corp., Boulder, CO, United States; ILC Dover, Inc., Frederica, DE, United States; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States; NASA Langley Research Center, Hampton, VA, United States","Miller K.L., Ball Aerospace and Technologies Corp., Boulder, CO, United States; Gulick D., Ball Aerospace and Technologies Corp., Boulder, CO, United States; Lewis J., Ball Aerospace and Technologies Corp., Boulder, CO, United States; Trochman B., Ball Aerospace and Technologies Corp., Boulder, CO, United States; Stein J., ILC Dover, Inc., Frederica, DE, United States; Lyons D.T., Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States; Wilmoth R.G., NASA Langley Research Center, Hampton, VA, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84897586247
Justus C.G.; Duvall A.; Johnson D.L.,"Justus, C.G. (7004393577); Duvall, Aleta (7005613583); Johnson, D.L. (55699203300)",7004393577; 7005613583; 55699203300,Engineering-level model atmospheres for Titan and Neptune,Neptune,2003,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,,,,,,,30,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897585328&partnerID=40&md5=540f6bd37cacb67a2d531b7d77e85814,United States,NASA Marshall Space Flight Center,"Computer Sciences Corporation, Huntsville, AL, United States; NASA Marshall Space Flight Center, Marshall Space Flight Center, AL, United States","Justus C.G., Computer Sciences Corporation, Huntsville, AL, United States; Duvall A., Computer Sciences Corporation, Huntsville, AL, United States; Johnson D.L., NASA Marshall Space Flight Center, Marshall Space Flight Center, AL, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-84897585328
Starr B.R.; Westhelle C.H.; Masciarelli J.P.,"Starr, Brett R. (10039875400); Westhelle, Carlos H. (8366238600); Masciarelli, James P. (8420222600)",10039875400; 8366238600; 8420222600,Aerocapture performance analysis for a Neptune-Triton Exploration Mission,Neptune,2004,Collection of Technical Papers - AIAA Atmospheric Flight Mechanics Conference,1,,AIAA 2004-4955,704,714,10,15,10.2514/6.2004-4955,https://www.scopus.com/inward/record.uri?eid=2-s2.0-19644370409&doi=10.2514%2f6.2004-4955&partnerID=40&md5=ba436908d000e7ceb82570a0e4aa3f7c,United States,NASA Langley Research Center,"NASA Langley Research Center, Hampton, VA 23681-2199, United States; NASA Johnson Space Flight Center, Houston, TX 77058, United States; Vehicle Analysis Branch, 100 NASA Rd/365, United States; Advanced Mission Design Branch, Mail Code EG5, 2101 NASA Rd; Ball Aerospace, Mail Stop T-1, Boulder, CO, 1600 Commerce St, United States","Starr B.R., NASA Langley Research Center, Hampton, VA 23681-2199, United States, Vehicle Analysis Branch, 100 NASA Rd/365, United States; Westhelle C.H., NASA Johnson Space Flight Center, Houston, TX 77058, United States, Advanced Mission Design Branch, Mail Code EG5, 2101 NASA Rd; Masciarelli J.P., NASA Johnson Space Flight Center, Houston, TX 77058, United States, Ball Aerospace, Mail Stop T-1, Boulder, CO, 1600 Commerce St, United States",,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-19644370409
Justus C.G.; Duvall A.; Keller V.W.,"Justus, C.G. (7004393577); Duvall, Aleta (7005613583); Keller, Vernon W. (7006564811)",7004393577; 7005613583; 7006564811,Engineering-level model atmospheres for Titan and Mars,Titan,2004,"European Space Agency, (Special Publication) ESA SP",,544,,311,316,5,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542306720&partnerID=40&md5=586ee760e39087a818669a5a20201fb3,United States,NASA Marshall Space Flight Center,"Computer Sciences Corporation, Huntsville, AL 35824, P.O. Box 240005, United States; NASA Marshall Space Flight Center, ED44, Marshall Space Flight Ctr., AL 35812, United States","Justus C.G., Computer Sciences Corporation, Huntsville, AL 35824, P.O. Box 240005, United States; Duvall A., Computer Sciences Corporation, Huntsville, AL 35824, P.O. Box 240005, United States; Keller V.W., NASA Marshall Space Flight Center, ED44, Marshall Space Flight Ctr., AL 35812, United States",,NASA,,English,Conference paper,Final,,Scopus,2-s2.0-1542306720
